Twiddle,Step,Kp,Ki,Kd,angle,cte,d_error,i_error,
0,0,0.140427,0,2.8306,0.8785,-0.0506,-0.0038,87.6902,
0,0,0.140427,0,2.8306,0.8706,-0.0536,-0.0035,87.6396,
0,0,0.140427,0,2.8306,0.8706,-0.0536,-0.003,87.586,
0,0,0.140427,0,2.8306,0.8368,-0.0563,0,87.5324,
0,0,0.140427,0,2.8306,0.6245,-0.0587,-0.0027,87.4761,
0,0,0.140427,0,2.8306,0.825,-0.0607,-0.0024,87.4174,
0,0,0.140427,0,2.8306,0.825,-0.0607,-0.002,87.3567,
0,0,0.140427,0,2.8306,0.791,-0.0623,0,87.296,
0,0,0.140427,0,2.8306,0.6494,-0.0636,-0.0016,87.2337,
0,0,0.140427,0,2.8306,0.7683,-0.0645,-0.0013,87.1701,
0,0,0.140427,0,2.8306,0.7516,-0.0639,-0.0009,87.1056,
0,0,0.140427,0,2.8306,0.7265,-0.061,0.0006,87.0417,
0,0,0.140427,0,2.8306,0.6182,-0.0556,0.0029,86.9807,
0,0,0.140427,0,2.8306,0.4453,-0.0481,0.0054,86.9251,
0,0,0.140427,0,2.8306,0.2494,-0.0378,0.0075,86.877,
0,0,0.140427,0,2.8306,0.0745,-0.0253,0.0103,86.8392,
0,0,0.140427,0,2.8306,-0.1598,-0.0107,0.0125,86.8139,
0,0,0.140427,0,2.8306,-0.3594,0.0057,0.0146,86.8032,
0,0,0.140427,0,2.8306,-0.5593,0.0224,0.0164,86.8089,
0,0,0.140427,0,2.8306,-0.7442,0.039,0.0167,86.8313,
0,0,0.140427,0,2.8306,-0.8241,0.0556,0.0166,86.8703,
0,0,0.140427,0,2.8306,-0.8753,0.0721,0.0166,86.9259,
0,0,0.140427,0,2.8306,-0.9336,0.0885,0.0165,86.998,
0,0,0.140427,0,2.8306,-0.9844,0.1047,0.0164,87.0865,
0,0,0.140427,0,2.8306,-1.0349,0.1208,0.0162,87.1912,
0,0,0.140427,0,2.8306,-1.0776,0.1366,0.0161,87.312,
0,0,0.140427,0,2.8306,-1.1271,0.1522,0.0158,87.4486,
0,0,0.140427,0,2.8306,-1.1613,0.1823,0.0156,87.6008,
